filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
./contracts/0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746744801.8820088,583.483874797821,0,"{Assertion_Failure,Reentrancy,Transaction_Order_Dependency}",{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
./contracts/0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746644986.0919816,592.3219881057739,0,{Unhandled_Exception},{},{Validation error: Sender account balance cannot afford txn (ignoring for now)},{}
./contracts/0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746617543.8230512,593.5374624729156,0,{Unhandled_Exception},{},{},{}
./contracts/0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,0x19cf8481ea15427a98ba3cdd6d9e14690011ab10.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746652790.0400512,173.17558789253235,1,{},{},"{AttributeError exception is catched,EXIT_CODE_1}",{exception (AttributeError: 'NoneType' object has no attribute 'as_long')}
./contracts/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746583907.8128605,582.2556095123291,0,"{Assertion_Failure,Reentrancy,Transaction_Order_Dependency}",{},{},{}
./contracts/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746753427.1353967,592.9803502559662,0,"{Assertion_Failure,Unhandled_Exception}",{},{},{}
./contracts/0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746746646.3003192,572.0692083835602,0,"{Reentrancy,Unhandled_Exception}",{},{},{}
./contracts/0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746764491.5547864,571.735621213913,0,"{Reentrancy,Unhandled_Exception}",{},{},{}
./contracts/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746777693.4325926,592.3733105659485,0,"{Leaking_Ether,Unhandled_Exception}",{},{},{}
./contracts/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746598459.7494304,591.7807941436768,0,{Unhandled_Exception},{},{},{}
./contracts/0x4051334adc52057aca763453820cb0e045076ef3.sol,0x4051334adc52057aca763453820cb0e045076ef3.sol,confuzzius,solidity,2022/12/31,20250507_0127,1746791281.3959787,592.5816838741302,0,{Unhandled_Exception},{},{},{}
